nom_operateur,nom_enseigne
,SEAT - HYUNDAI- WE-VAN - HERTZ - JAOUEN AUTOMOBILES - LANNION
,SETE UTILITAIRES
,SOCAM - PEUGEOT
,SUZUKI AUTOMOBILES
,SYDER
,Salade & Co
,Salle &agrave; usage multiple Nelson Mandela
,Savoie Motors Albertville
,Seat
,Seat ABVV Epinay-sur-Seine
,Sepric
,Sicobal
,Sigeif
,Sixt
,Siège Lempereur
,Smart
,Spie Batignolles Petavit
,Stade Claude Papi
,Station Eurotyre
,Super U et Drive
,Suzuki
,Terrasses de la Madeleine
,Toufflin MTP
,Toyota
,Toyota Nissan
,Unibail
,Usine
,VAL DE LOIRE AUTOMOBILES SAUMUR
,VOLKSWAGEN BYmyCAR Beaune
,VOLKSWAGEN BYmyCAR Carpentras
,VOLKSWAGEN BYmyCAR Lyon Vaise
,VOLKSWAGEN BYmyCAR Orange
,VOLKSWAGEN BYmyCAR Rillieux la Pape
,VOLKSWAGEN BYmyCAR Vienne
,VOLKSWAGEN BYmyCAR Villefranche sur Sa&ocirc;ne
,VOLVO Mulhouse - Everline SAS
,VOLVO Pemzec Automobiles Lorient
,VOLVO THIONVILLE - Larson by autosphere
,Vitro Service France
,Volkswagen
,Volkswagen BYmyCAR Roanne
,Volkswagen V&eacute;hicules Utilitaires &ndash; GVA BYMYCAR LOIRE
,Volkswagen Véhicules Utilitaires
,Volkswagen à Saint-Omer - DELATTRE AUTOMOBILES
,Volvo
,Volvo - Nudant Automobiles
,Volvo - Suzuki Angers (49) - Val de Loire Automobile
,Volvo - Suzuki Cholet (49) - Val de Loire Automobile
,Volvo C&ocirc;te d&#039;Azur
,Volvo Dechy (PDL 2)
,Volvo Metz - HESS Automobile
,Volvo Rouen Thibaut SAS
,Volvo Tarbes Commeres SAS
,Volvo Tours (37) - Val de Loire Automobile
,WiiiZ
,Zenpark
,edenauto Renault Aire-sur-l'Adour
,edenauto Renault Mont-de-Marsan
,nhood59960*1
270 AGENCY,270 AGENCY
Acelec Charge,Acelec
Acelec Charge,Camaïeu France
Acelec Charge,Kyriad
Allego,ALLEGO
Allego,Carrefour Energies
BORNECO,borneco
Bouygues Énergies et Services,ADP Groupe
Bouygues Énergies et Services,Alizé Liberté
Bouygues Énergies et Services,Bouygues Energies et Services
Bouygues Énergies et Services,CPO Alizé Liberté Public
Bouygues Énergies et Services,Grenoble-Alpes Métropole
Bouygues Énergies et Services,Indigo France
Bouygues Énergies et Services,La borne bleue
Bouygues Énergies et Services,Métropole Rouen Normandie
Bouygues Énergies et Services,Pass pass électrique
